hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y,y_norm
800,229,3.35,400,20.21,400,20.21,1.0,16000,768.3539293,1.0652745163
700,280,28.0,175,28.0,700,28.0,-0.5,8400,3780.537652,0.8836150575
800,200,14.4,200,14.4,200,14.4,0.25,6400,626.4174535,1.7076039212
600,900,3.0,450,22.74,675,16.7,0.75,19800,1152.244288,0.7909206134
600,600,2.23,300,10.74,600,6.0,0.75,6000,1047.83386,0.4658028458
600,200,2.0,300,12.95,300,12.95,0.5,16800,221.1802711,1.4747452595
600,200,2.23,300,22.89,300,22.89,-0.75,6000,5055.145908,3.0934153877
467,700,3.36,350,21.55,700,14.74,-0.75,11200,3383.268946,1.388946933
700,175,8.13,700,25.05,700,25.05,0.25,21000,4417.530391,1.7481624296
900,360,10.45,900,52.11,450,10.45,-0.25,19800,33879.06561,8.158438467
125,500,5.81,375,5.81,125,6.32,-0.75,13000,82.80037735,1.9207081532
1000,333,8.57,250,19.08,250,19.08,1.0,34000,106.5861407,1.0644588484
200,500,9.0,250,18.16,500,40.0,0.0,17000,2540.846108,2.5288149007
800,229,14.4,600,48.0,200,14.4,0.75,9600,12740.16954,4.1927611784
1000,667,5.62,1000,10.0,500,36.32,0.5,38000,2116.013487,1.4379382654
900,600,3.77,900,62.05,450,36.0,0.75,34200,10945.72319,2.3653557083
600,600,2.88,450,11.13,600,34.74,-0.25,4800,13758.63779,0.8586572628
700,350,6.0,525,14.92,525,14.92,1.0,19600,689.4669888,1.0158175211
500,143,1.67,375,7.89,375,7.89,0.25,4000,2394.974467,1.5870796008
1000,250,18.0,250,18.16,500,18.0,0.25,40000,306.1068644,1.3725427106
286,1000,3.33,1000,46.84,750,37.89,0.75,36000,8384.765789,1.4586289428
600,400,2.23,450,16.11,150,4.26,1.0,18000,435.2083681,4.2368644775
1000,333,5.62,500,19.74,1000,10.0,-0.75,30000,1775.529087,1.777755537
600,400,2.51,150,6.47,450,21.08,-0.75,22800,307.5570018,2.5758643016
700,233,2.33,175,8.84,350,17.68,0.0,14000,201.3118913,1.3024034923
700,700,6.0,700,50.84,350,17.68,-0.25,18200,18650.63057,6.1192478488
300,75,1.26,300,10.74,150,6.47,-1.0,9000,268.7623178,3.862710877
