hw1;hw2;tw;bf1;tf1;bf2;tf2;psi;L;y
150;600;2.51;450;36;150;8.68;0.5;6000;7191.250126
600;240;4.08;600;21.47;150;8.68;1;9600;3083.934128
450;900;3;225;3.08;450;12.79;1;25200;52.33665828
500;1000;4.19;1000;72.63;750;37.89;-1;40000;24637.37467
400;133;7.2;300;9.63;100;7.2;0.25;2400;2802.597931
350;700;2.33;350;22.84;525;11.05;-0.75;4200;14251.68514
700;700;8.13;525;12.99;525;14.92;-0.25;25200;1061.110107
600;171;4.08;600;28.11;450;19.42;0;18000;4182.033215
300;900;3.77;450;34.34;675;51.51;-0.5;30600;6751.180724
1000;667;6.79;500;19.74;500;12.37;0.5;28000;839.6931301
1000;667;18;250;18;250;18;1;30000;163.4907018
900;360;4.32;900;42.16;225;7.22;-0.75;28800;10635.30661
450;900;4.32;900;25.58;900;18.95;-0.25;34200;5216.398436
233;700;8.13;525;18.79;700;48.26;0.5;25200;3924.872422
267;400;1.92;400;8.42;400;5.47;0.75;15200;179.1335418
300;86;3.48;225;3.48;300;4.11;1;7800;32.88759663
286;1000;4.19;500;28.95;750;24.08;-0.5;14000;7988.843798
900;257;3.34;675;46.54;675;49.03;0.25;30600;7950.306816
400;100;2.72;300;3;200;13.05;0.5;5600;216.0647759
800;533;14.4;600;36.95;400;27.58;0.25;32000;2873.385472
400;267;2.25;200;9.37;200;4.21;-1;15200;64.79845539
700;350;3.94;700;35.37;525;20.72;1;9800;12522.55814
450;900;4.32;675;19.18;675;49.03;0.75;32400;2952.449264
300;300;1.69;300;6.32;150;1.69;0;7800;239.1606469
300;200;2.04;150;7.03;225;14.68;-0.25;9000;136.8295676
120;300;5.4;225;16.34;300;12.95;1;11400;188.0451285
300;150;1.11;225;6.39;300;11.84;0.75;3600;367.8239831
600;150;3.38;150;8.13;300;22.89;0.25;24000;157.101562
333;1000;6.79;1000;13.68;1000;17.37;1;14000;8191.185029
900;600;16.2;225;16.2;675;46.54;-1;7200;8556.081438
800;400;6.86;400;9.89;400;18.74;0.75;8000;1402.670274
500;250;2.4;250;8.03;500;10.53;1;2000;2395.188351
600;171;5.14;300;16.26;300;6.32;0.25;3600;3702.59506
240;600;2;150;7.58;600;14.84;1;22800;131.4369497
125;500;3.4;500;19.74;500;8.68;-0.5;19000;1314.28833
257;900;3.34;900;45.47;225;17.17;-0.5;28800;9322.215658
200;400;1.92;100;5.05;300;6.32;1;7200;17.30611708
200;400;2.25;200;13.79;400;29.05;1;5600;1070.826926
200;400;1.33;400;8.42;300;14.05;0;13600;376.0969981
360;900;5.06;675;36.59;900;25.58;1;7200;28013.05277
800;800;14.4;800;34.53;400;24.63;-0.25;14400;24782.21669
175;700;3.36;350;26.71;175;8.2;-0.5;15400;1068.935141
500;333;20;125;20;375;20;0;1000;7637.357557
300;300;1;150;3.71;225;17.17;0.75;3600;176.5932935
400;600;2.51;450;6.16;600;10.42;0.5;4800;2991.845526
300;120;3.48;75;3.79;75;5.45;-0.25;3600;18.09993488
600;171;10.8;150;10.8;150;10.8;-0.75;6000;357.2698047
133;400;1.48;100;4.32;300;6.32;0.25;4800;40.36919272
600;150;5.14;450;34.34;150;10.34;-0.25;9600;7906.810432
600;900;3.77;225;9.71;225;18;-0.25;36000;84.98155923
800;800;2.97;800;31.58;800;43.37;-1;28800;14770.41108
1000;333;3.71;750;29.61;750;26.84;0.75;36000;2482.602768
143;500;2.81;125;5.86;500;32.63;1;11000;1083.786921
1000;667;40;500;40;750;46.18;-0.5;22000;12737.72158
114;400;1.67;100;8;200;9.37;1;5600;37.33948512
900;225;10.45;450;24.39;900;52.11;-0.25;30600;6843.589831
800;400;5.43;600;32.53;800;28.63;0.5;16000;6459.815265
900;300;6.11;450;31.03;450;31.03;-0.25;34200;1876.694541
150;300;1.69;150;10.34;75;2.68;-0.25;10200;46.00087126
400;800;14.4;400;14.4;600;39.16;0.75;28800;1343.201332
