hw1;hw2;tw;bf1;tf1;bf2;tf2;psi;L;y
500;200;1.67;125;4.01;500;28.95;-0.5;15000;966.8431538
533;800;32;200;32;200;32;0.75;32000;334.1192419
400;600;2;300;24;150;5.92;-0.5;22800;493.6305919
500;1000;18;250;18;750;18.55;-0.25;38000;670.9134142
700;350;2.6;175;10.13;350;26.71;-0.25;15400;453.1709555
900;360;6.11;900;12.32;900;32.21;1;28800;2469.52268
300;150;1.26;75;1.26;75;1.26;0.75;4800;1.210928247
533;800;32;800;32;400;32;0.25;14400;15513.57088
400;267;4.65;400;24.63;100;8;-0.75;9600;1489.164814
200;400;1.48;200;4.95;300;15.16;-0.75;6400;409.3355871
1000;286;5.62;250;17.24;250;8.95;-0.5;26000;256.1267595
400;133;1.33;400;6.95;400;27.58;0;11200;1271.358689
125;500;9;500;27.11;375;16.18;0.25;16000;1812.563708
167;500;2.09;125;2.63;125;3.55;-0.5;13000;5.831054426
400;160;2.72;300;15.16;300;6.32;0.75;14400;195.3507219
700;467;28;700;43.11;175;28;-0.25;16800;16375.28554
250;500;1.86;125;8.16;125;2.63;-0.5;14000;19.81928547
800;229;14.4;600;17.05;800;55.16;0;16000;12128.42422
200;500;2.4;250;4.34;500;14.21;1;10000;206.5014461
900;225;3;675;54;675;26.64;0.75;18000;10681.83476
600;600;3.38;450;9.47;450;27.71;0.25;19200;912.7355098
200;600;24;600;24;450;24.39;0.25;10800;5584.190622
320;800;4.5;400;27.58;200;7.16;0.25;30400;552.2806374
1000;1000;6.79;250;7.11;750;46.18;0.75;14000;2628.054587
600;150;4.08;450;17.76;450;29.37;-0.25;3600;24499.30151
100;300;1.11;150;3.71;150;6.47;1;4800;26.06401657
114;400;1.48;100;3.21;200;10.11;0.25;16000;21.97842967
267;400;16;300;16;400;16;-0.75;4000;5870.890025
150;300;2.57;300;11.84;300;10.74;0.75;5400;605.7016822
600;150;2;300;15.16;450;9.47;0.5;24000;176.1884891
400;114;1.33;100;4.68;200;7.16;-0.75;1600;372.2688947
500;200;5.81;125;6.32;125;8.62;-0.5;14000;31.27122809
400;100;1.92;100;1.92;100;2.11;-0.5;6400;8.276218906
500;250;2.81;500;36.32;250;2.81;0.25;17000;2960.599529
300;900;6.11;675;19.18;225;6.39;0.75;21600;1342.584418
900;225;6.11;675;14.21;225;10.54;0.5;28800;728.9874095
100;400;2.25;400;26.11;300;18.47;-0.75;12000;2169.180443
900;450;7.71;675;7.71;450;29.37;-0.75;7200;18554.86406
240;600;10.8;150;10.8;600;36.95;-0.25;15600;3421.708197
900;900;7.71;225;18;675;34.11;0;7200;3169.231022
600;900;36;900;65.37;675;51.51;0.75;7200;144327.0788
800;229;6.86;600;6.86;600;45.79;0;32000;2489.496614
350;700;3.94;175;10.78;700;43.11;0.75;8400;3698.623867
900;900;7.71;900;22.26;900;32.21;-0.25;9000;72435.06012
700;350;3.94;525;24.59;700;37.95;-1;7000;33631.89471
125;500;2.81;250;9.87;125;2.81;-0.75;13000;76.61439151
500;200;2.4;125;8.62;250;11.71;-1;2000;1338.672566
1000;286;5.62;500;30.79;250;12.63;-1;16000;2194.446546
300;75;3.48;75;3.51;75;3.48;-0.5;2400;32.79789274
800;800;2.67;400;8.42;400;27.58;-1;6400;7684.62175
300;150;12;150;12;150;12;-0.75;2400;1131.400031
350;700;2.6;350;21.55;700;17.32;0.25;11200;1850.317639
133;400;1.33;200;13.79;400;12.84;-0.5;12800;403.7244594
400;133;2.72;400;17.26;200;13.05;1;4000;2746.29224
400;600;2.88;150;10.34;300;3;0;1200;3432.413018
400;800;3.84;600;34.74;600;45.79;0.5;22400;5121.654654
700;280;12.6;175;12.6;175;12.6;-0.25;15400;166.5351926
600;200;10.8;300;14.05;600;48;0.5;24000;2522.676505
600;150;5.14;300;16.26;150;5.92;0.5;13200;303.8372373
900;300;5.06;225;18;900;9;0.5;1800;10936.10075
600;150;2.51;450;9.47;600;34.74;0.25;16800;2136.084821
800;400;32;600;32;800;32;-0.75;19200;13282.80071
500;143;2.09;500;38.16;125;5.86;0.5;17000;2573.357721
800;800;6.86;800;46.32;200;16;-1;20800;5211.745198
1000;500;11.61;1000;54.21;250;13.55;-1;38000;11027.61528
600;171;4.08;150;9.79;300;4.08;0.25;2400;659.2699276
267;400;2.25;200;13.79;300;4.11;1;15200;58.84689571
1000;333;40;250;40;250;40;-0.5;2000;60381.48667
171;600;4.08;600;36.95;300;22.89;1;13200;4278.423575
500;167;3.4;250;6.18;125;5.86;-0.5;19000;65.89998881
900;900;7.71;675;51.51;675;36.59;1;32400;4789.677515
700;467;2.6;525;32.33;700;27.63;0.75;16800;3537.216137
300;200;1.69;225;2.25;300;3;0.5;4200;93.10631269
800;533;4.5;400;21.68;200;5.68;0.75;9600;1981.829628
600;600;24;150;24;600;24;0.25;4800;2306.639999
533;800;2.67;200;7.89;800;16.84;0.5;4800;920.69429
800;320;14.4;400;14.4;600;32.53;0.75;9600;2778.641017
1000;1000;6.79;1000;35.79;500;17.89;-0.75;12000;25351.47556
286;1000;40;750;40;250;40;0.25;28000;6205.575443
500;125;5.81;250;8.03;250;10.79;1;3000;772.0806756
400;267;1.92;300;16.26;400;17.26;0;5600;2191.414594
114;400;16;100;16;200;16;-0.25;12800;168.3888959
229;800;2.67;800;8;600;48;-0.25;32000;3840.889832
900;225;3.34;900;55.42;900;72;-0.5;12600;131615.9519
300;200;12;75;12;75;12;0.5;3600;72.35173773
300;100;2.04;300;10.74;150;5.37;0.5;10800;158.9186498
300;75;1.44;300;18.47;225;18;0.25;7200;991.3151576
500;167;3.4;500;16.05;125;9.08;0;7000;4389.498555
400;1000;11.61;500;11.61;500;21.58;0.25;32000;587.3727677
100;300;1.44;225;12.2;75;3.51;-1;10800;68.37768923
700;700;6;525;40.07;350;11.24;-0.25;25200;4046.668447
120;300;1.26;225;14.68;300;16.26;-0.5;12000;451.3178656
600;200;2.23;150;5.92;450;22.74;1;13200;303.85051
500;250;1.86;500;25.26;375;16.18;-0.25;5000;20481.65025
300;300;12;150;12;225;12;-1;3000;1190.365656
250;1000;8.57;500;27.11;500;16.05;-1;8000;12289.22183
133;400;2.25;200;13.79;100;5.42;1;4800;245.5253912
900;900;3.34;450;24.39;900;68.68;0.75;7200;19793.36014
1000;1000;40;750;40;750;54.47;0.75;20000;14782.58508
360;900;16.2;675;39.08;225;16.2;0.25;25200;4315.459543
1000;1000;11.61;500;16.05;250;14.47;-0.5;38000;804.1235073
257;900;16.2;450;27.71;450;21.08;1;7200;5499.514146
200;500;2.81;375;27.24;250;10.79;-0.25;9000;2696.096297
600;171;10.8;600;10.8;150;10.8;0.5;21600;462.7874855
175;700;2.93;350;12.53;175;9.49;-0.75;25200;164.0742785
1000;250;18;750;57.24;250;18;0.25;32000;8531.006068
500;167;4.29;500;23.42;125;4.29;0.25;13000;1955.569033
600;300;2.23;150;9.24;150;5.92;-1;20400;31.24333194
280;700;12.6;525;12.6;350;15.11;-0.25;14000;1645.403022
200;800;3.35;400;6.95;400;15.79;0;25600;242.5530062
800;800;14.4;600;14.4;800;19.79;0;20800;2675.832502
175;700;2.93;350;16.39;175;8.84;0.5;26600;166.0033269
100;300;3.48;75;5.17;300;20.68;-0.75;8400;704.9724362
600;600;10.8;450;10.8;600;19.26;0;9600;2801.28346
360;900;5.06;900;38.84;900;9;0.5;9000;46858.00116
1000;500;4.8;250;6.18;750;51.71;-0.75;24000;4498.604115
500;333;1.86;250;2.5;250;10.79;-0.75;14000;99.36074104
1000;500;11.61;1000;43.16;750;26.84;-1;14000;39052.64247
300;200;1.44;300;8.53;225;13.86;0.5;6000;467.0819758
700;350;4.75;350;11.24;525;34.26;1;4200;4202.951306
700;700;2.6;525;32.33;350;16.39;0.25;4200;47742.06066
700;467;6;350;24.13;700;17.32;-0.5;7000;7970.9185
233;700;4.75;525;30.39;700;22.47;-0.5;15400;6862.688264
500;333;20;500;20;375;28.62;-0.25;14000;3766.216937
200;800;2.67;800;19.79;800;22.74;-0.5;27200;4221.174591
333;500;2.09;375;16.18;250;18.16;0.75;3000;7524.588301
500;125;20;250;20;125;20;-0.75;10000;1045.690452
300;900;6.11;675;16.7;675;54;0.5;12600;10216.50373
300;300;5.4;75;5.45;300;8.53;0;4200;64.60372553
700;200;4.75;525;26.53;700;56;-1;14000;18847.89392
300;600;2;450;14.45;300;19.58;0.5;19200;556.0151602
250;1000;6.79;1000;50.53;500;6.79;0.5;20000;17132.45413
400;200;1.92;400;27.58;200;14.53;-1;12000;1652.541521
900;225;6.11;225;18;450;19.42;1;19800;258.3060631
300;100;3.48;150;3.71;225;8.88;-1;9000;68.69015922
150;300;5.4;225;5.4;75;5.4;-0.75;7200;47.83186314
75;300;1.44;75;1.44;150;2.05;0.25;11400;0.882610939
700;280;8.13;700;37.95;350;26.71;-0.25;23800;8271.843731
1000;286;3.71;500;28.95;250;11.71;0.75;6000;11642.40879
280;700;6;525;42;350;20.26;0.5;18200;3653.443159
150;300;12;150;12;225;12;-0.25;7200;232.9556191
300;600;2.23;450;34.34;450;26.05;0.5;19200;2055.088996
600;150;2.88;600;30.32;300;22.89;-0.25;10800;12665.65404
333;500;2.81;125;8.62;125;2.81;1;11000;14.21895239
267;800;2.97;400;21.68;800;31.58;-0.5;12800;7421.085788
267;400;7.2;100;7.2;100;7.2;0.5;5600;32.55524757
280;700;3.36;350;4.79;350;22.84;0;18200;395.6975879
200;800;3.84;800;49.26;400;29.05;1;12800;15369.16753
350;700;2.93;525;20.72;350;12.53;1;22400;742.4301008
300;200;12;300;22.89;150;12;-0.25;10800;1032.873576
200;300;1.26;225;14.68;225;11.37;-0.5;3000;2163.243971
700;233;2.6;700;14.74;350;3.5;0.75;25200;723.401583
286;1000;18;250;20;250;18;0.5;38000;157.1414893
450;900;4.32;675;31.62;225;4.32;1;32400;1503.42072
800;267;6.86;400;11.37;600;43.58;-0.75;22400;3529.428433
167;500;20;250;20;125;20;0.25;5000;1419.326079
900;450;6.11;225;6.11;900;55.42;-0.5;32400;6396.956096
600;150;2;600;14.84;600;34.74;0.5;24000;1956.704265
600;171;2.23;300;4.11;450;17.76;0.75;15600;226.7523021
800;400;14.4;800;46.32;200;14.4;-0.5;8000;37442.16226
500;333;3.4;250;14.47;125;8.16;0.25;12000;240.9040241
500;143;4.29;375;17.57;500;23.42;-1;20000;1566.805842
200;400;3.43;400;15.79;300;17.37;0;16000;662.3009614
500;167;2.09;125;9.54;125;7.7;0.25;12000;26.65998777
500;125;2.4;375;23.09;500;32.63;1;12000;1852.878914
240;600;2.51;450;14.45;600;25.89;-0.25;9600;4165.189345
133;400;2.25;400;30.53;200;8.63;0.5;8000;2508.958173
400;133;2.72;200;3.47;100;3.21;1;16000;6.528112728
175;700;8.13;350;8.13;350;25.42;0.75;5600;1512.323823
800;800;2.97;200;10.84;800;22.74;-0.5;4800;2872.077957
100;400;16;300;24;100;16;-0.5;15200;672.7566386
150;600;2.88;450;27.71;300;15.16;0;14400;1962.228832
900;900;36;450;36;225;36;-1;10800;6642.593031
114;400;1.67;100;1.74;200;5.68;0.5;4800;13.90844076
300;120;5.4;225;13.86;150;5.4;-0.5;4200;934.519934
700;700;3.36;350;17.68;525;16.86;0.5;14000;891.351477
286;1000;3.33;500;30.79;250;11.71;0;26000;1593.257773
167;500;3.4;250;3.4;375;6.51;0.25;14000;50.07992006
600;900;5.06;225;17.17;900;52.11;-1;23400;8855.81095
600;600;3.38;150;9.24;450;27.71;-0.75;12000;842.0265268
500;143;5.81;250;20;125;5.86;0;12000;427.1237363
1000;500;11.61;1000;43.16;750;37.89;-0.5;10000;154063.8479
200;300;2.57;150;10.34;300;12.95;-0.25;2400;891.6266629
300;300;1.26;225;18;300;19.58;-0.5;2400;5929.254298
167;500;2.81;125;10;250;7.11;-0.5;12000;57.79387051
1000;286;8.57;250;8.57;750;40.66;1;32000;1398.654568
171;600;4.08;150;7.03;150;5.92;0.25;2400;363.7120558
1000;667;8.57;250;14.47;500;23.42;-0.25;18000;713.4914469
1000;286;4.8;250;13.55;1000;21.05;-0.5;26000;830.4213738
700;467;6;175;7.55;175;6;-0.75;8400;195.3740062
900;225;4.32;900;9;675;24.16;-0.25;14400;9679.193482
400;133;2.72;400;8.42;400;24.63;-0.75;8800;2441.292706
300;900;16.2;225;16.2;450;16.2;-0.75;36000;364.004027
400;200;1.33;100;6.89;300;11.84;-1;16000;68.10165882
300;75;12;150;12;150;12;-0.5;4800;387.6445071
500;200;2.4;375;27.24;500;14.21;1;3000;10969.60972
500;333;5.81;500;6.84;375;14.8;-0.5;11000;1678.853906
160;400;16;100;16;300;22.89;0;16000;363.7674964
600;400;6.97;600;6.97;450;21.08;-0.75;24000;1294.579408
280;700;3.94;175;11.42;350;4.79;0.5;9800;96.61283842
300;900;4.32;900;52.11;900;45.47;0.25;21600;23325.99902
400;400;1.48;400;30.53;100;6.89;0.25;12000;2140.432704
800;229;3.35;800;13.89;800;40.42;-1;30400;7243.719309
233;700;6;175;6;700;22.47;-1;16800;2125.171964
1000;250;4.8;1000;24.74;500;8.68;0;30000;6865.355374
300;75;1.44;75;3.51;300;9.63;-0.5;10800;45.71942878
1000;500;40;500;40;250;40;1;34000;1762.114824
300;200;5.4;150;11.45;75;5.4;-0.5;1200;1092.218946
143;500;5.81;250;18.16;250;9.87;0;12000;350.3382514
320;800;2.67;400;32;800;28.63;-0.25;16000;5368.572973
143;500;1.86;375;20.33;250;9.87;-0.5;13000;1010.833092
86;300;3.48;300;10.74;300;21.79;0;11400;573.2952853
300;300;1.69;75;4.89;150;5.92;0;9600;7.85911272
700;467;3.36;350;21.55;175;13.36;0.25;16800;731.8171963
1000;1000;6.79;750;54.47;250;6.79;-1;28000;5320.346783
400;800;14.4;400;27.58;600;19.26;-0.75;8000;10353.82983
225;900;16.2;675;54;675;16.2;0;19800;12225.3203
400;100;16;100;16;100;16;0.5;12000;59.8214566
700;280;8.13;525;18.79;700;56;-0.75;18200;11804.50609
200;300;1.26;75;5.72;150;4.82;-0.25;10200;7.595739481
700;233;28;525;28;700;28;-0.5;14000;9981.237622
229;800;32;200;32;200;32;1;12800;679.4080839
200;500;5.81;375;27.24;125;10;-0.25;17000;1096.224822
225;900;7.71;675;31.62;225;10.54;0.75;7200;14383.84285
400;200;1.92;400;23.16;400;21.68;-1;12800;2654.085854
200;400;1.67;400;30.53;100;5.42;0.25;4000;8558.868317
400;400;2.25;400;12.84;200;10.84;0;4000;5954.239145
450;900;7.71;450;7.82;450;32.68;1;36000;416.3188654
350;700;2.33;175;2.39;175;12.07;0.75;18200;18.29964771
600;300;2;450;17.76;300;5.21;-0.25;14400;1689.854174
700;700;12.6;175;12.6;175;13.36;-0.5;12600;271.613422
167;500;5.81;250;8.95;125;5.81;1;15000;49.24691757
200;800;3.84;400;26.11;800;34.53;0.75;12800;4284.206936
600;300;24;300;24;450;24;-0.75;20400;1733.80562
400;400;1.67;400;18.74;300;4.11;0.75;5600;3033.366852
200;400;2.25;200;13.05;300;21.79;-0.25;5600;978.5150313
250;500;2.4;125;2.4;250;3.42;0.25;13000;5.707382977
1000;333;4.8;1000;80;250;8.03;0.5;20000;44969.59464
900;600;36;225;36;675;51.51;-0.5;25200;5702.420588
667;1000;18;500;28.95;1000;35.79;1;8000;12349.7869
800;800;32;800;32;400;32;-0.25;27200;9773.841815
900;225;5.06;450;11.13;675;14.21;-1;32400;712.9535521
500;1000;4.19;1000;54.21;500;6.84;0.75;18000;25954.32216
400;400;2.25;200;9.37;100;3.95;0;4000;549.1309524
900;257;36;450;36;900;65.37;-0.75;10800;38294.46321
150;300;2.04;225;3.91;75;2.04;0;6000;63.12708983
900;257;7.71;675;31.62;450;36;0.5;9000;18119.14923
667;1000;40;250;40;250;40;0.25;20000;1741.733254
900;360;4.32;675;16.7;450;32.68;-0.75;27000;4103.004658
175;700;28;525;28;350;28;0.5;8400;6593.681597
700;233;8.13;525;40.07;700;32.79;1;22400;3158.229539
600;150;5.14;450;7.82;600;21.47;-0.75;24000;1038.729744
250;500;2.4;375;7.89;500;12.37;-0.5;9000;1148.707726
400;200;1.92;300;20.68;200;7.16;1;4000;1918.781231
700;700;3.94;525;18.79;525;36.2;0.75;23800;1559.828635
600;240;2.51;450;26.05;450;17.76;1;7200;3999.039178
167;500;2.4;500;17.89;500;17.89;-0.75;12000;3236.872413
300;200;1.44;75;3.51;300;9.63;0.75;3000;56.97089363
160;400;3.43;400;5.47;400;17.26;-1;12800;800.6830243
200;300;3.48;75;3.48;75;3.79;-0.75;3600;17.87016516
400;600;5.14;450;32.68;300;14.05;-0.25;7200;10624.87555
400;800;2.97;400;32;400;21.68;1;6400;5955.73368
400;200;1.33;200;2;300;24;-0.5;11200;407.0121366
800;400;14.4;800;25.68;200;14.4;0.75;8000;18911.80213
1000;1000;4.19;500;10.53;1000;61.58;-0.5;28000;10413.16171
700;200;8.13;350;21.55;700;19.89;0.5;25200;782.1974989
1000;1000;18;750;32.37;750;18;-0.5;8000;88487.30042
229;800;2.67;200;2.74;600;17.05;1;4800;436.3259379
133;400;1.67;100;3.95;200;14.53;1;11200;38.92575354
350;700;28;175;28;175;28;-0.25;4200;2949.391936
100;400;2.25;100;8;300;9.63;-0.75;9600;132.0604172
900;900;10.45;675;14.21;900;38.84;-0.5;21600;8134.691492
500;250;1.86;125;8.62;500;21.58;-1;4000;1227.025589
400;133;2.72;100;5.42;100;2.72;0.5;3200;35.36656442
250;500;3.4;125;3.4;250;3.42;-0.75;4000;90.47000948
233;700;2.6;525;28.46;175;4.97;-0.5;21000;1811.835717
300;120;1;75;2.68;75;1;0.5;6600;1.573693157
450;900;7.71;225;14.68;675;9.24;-0.5;23400;262.1227712
100;400;1.92;400;32;300;7.42;-1;8800;2349.994516
350;700;3.36;700;35.37;525;26.53;-0.25;26600;5619.114424
600;300;24;300;24;600;24;-0.25;18000;1929.759706
400;1000;5.62;1000;54.21;250;16.32;1;16000;25566.18005
500;143;1.67;250;12.63;125;7.24;-0.75;10000;256.6005604
500;1000;3.71;500;36.32;250;8.95;-0.25;28000;2401.650036
700;350;8.13;175;8.13;700;22.47;-0.75;18200;773.8152365
75;300;3.48;75;3.48;225;4.74;0.25;2400;37.98137044
600;400;10.8;600;41.37;600;17.05;-0.5;12000;19522.2482
500;125;9;125;9;125;9;-0.5;8000;104.9105296
1000;1000;4.19;250;4.34;750;57.24;-1;28000;5550.277698
1000;1000;6.79;1000;65.26;1000;57.89;-0.5;32000;51556.6175
300;900;36;900;36;450;36;-1;16200;14252.6891
360;900;4.32;450;11.13;225;16.34;0.25;10800;1338.783854
160;400;1.67;100;6.53;100;5.79;0.25;15200;5.924541677
360;900;3;450;32.68;675;26.64;0;10800;7479.022205
700;700;2.93;700;50.84;350;22.84;0.5;25200;7317.075615
125;500;5.81;500;28.95;125;8.16;-0.75;12000;1909.970601
600;600;3.38;150;5.92;300;19.58;0;22800;119.7108471
400;600;2;600;41.37;450;31.03;-0.5;21600;7825.557682
75;300;1.69;75;2.96;150;8.68;-0.25;11400;18.07063285
800;800;4.5;200;12.32;800;34.53;0.75;28800;1128.573751
700;200;2.33;350;8.66;700;14.74;-0.5;4200;6056.226802
1000;500;40;500;40;500;40;0.75;16000;6216.384688
286;1000;18;250;18;750;37.89;0.25;38000;1932.300122
500;500;20;375;20;125;20;-0.25;3000;16250.49521
800;400;3.35;600;21.47;200;4.21;0;8000;12605.56964
333;1000;18;250;18;500;38.16;1;32000;712.0581374
257;900;3;225;3.91;450;24.39;0.25;7200;837.3393376
900;450;36;675;51.51;450;36;-0.25;27000;12842.1354
600;400;6.97;300;12.95;450;32.68;0;19200;1086.095386
400;114;4.65;400;12.84;400;26.11;-0.5;11200;2251.558591
900;900;3;900;42.16;225;16.34;-0.5;21600;10826.92296
500;500;9;250;10.79;500;25.26;0.25;15000;730.0524428
400;600;2.88;450;34.34;450;36;0.5;3600;30194.34554
600;300;2;450;24.39;300;20.68;-0.25;16800;2388.303152
800;800;2.67;200;3.47;200;4.95;-1;16000;55.35605991
800;800;3.35;600;17.05;800;19.79;0;30400;1670.186078
200;700;12.6;525;40.07;700;32.79;1;16800;4481.031743
800;800;4.5;200;8.63;800;34.53;0.25;20800;1604.167374
400;100;16;100;16;400;17.26;0.25;8800;423.6406202
700;350;2.33;350;6.08;350;20.26;-1;9800;1434.491221
400;800;14.4;400;24.63;200;14.4;0;30400;620.2817677
229;800;3.84;400;8.42;400;9.89;-1;32000;205.7429595
400;1000;11.61;750;15.79;500;11.61;-0.5;22000;3056.569261
400;400;2.25;300;6.32;300;9.63;-0.5;4000;2035.621051
100;400;3.43;100;3.58;100;5.05;-1;13600;6.740778737
86;300;1.69;150;4.26;75;6;0.25;6600;18.94142472
667;1000;11.61;250;11.61;750;21.32;0.5;22000;540.2365525
225;900;7.71;225;14.68;675;19.18;-0.75;16200;1508.381156
600;600;3.38;450;14.45;450;17.76;-0.5;12000;3008.754161
300;600;10.8;150;12;600;30.32;0.5;16800;1217.196327
400;400;4.65;300;5.21;200;4.65;-0.75;10400;184.9279804
600;600;2.23;300;8.53;300;8.53;1;14400;133.0367808
300;86;1.11;150;9.24;225;9.71;0.5;5400;115.1755807
200;300;1.69;150;5.92;225;14.68;-0.75;3000;531.7486373
267;400;3.43;100;7.63;200;6.42;0.25;14400;13.98478717
333;1000;6.79;750;24.08;1000;57.89;0;12000;34114.73127
360;900;6.11;675;9.24;675;36.59;-0.25;28800;2894.794191
900;600;5.06;900;35.53;225;5.57;1;19800;8133.534161
700;233;3.36;175;7.55;525;28.46;0.75;26600;455.9280273
700;280;3.94;525;36.2;175;13.36;-0.25;23800;3565.305505
167;500;4.29;375;23.09;250;12.63;0;10000;1560.941121
900;257;5.06;450;22.74;450;17.76;1;12600;1708.685813
267;400;16;200;16;200;16;-0.25;11200;374.0337584
200;800;2.97;400;27.58;400;18.74;0.5;32000;572.392848
167;500;3.4;500;12.37;500;16.05;1;12000;878.5058096
1000;667;40;750;43.42;1000;40;0;36000;11068.77231
400;800;9.29;800;37.47;200;10.11;-0.25;28800;6043.605452
600;171;3.38;150;12;150;10.34;-0.5;2400;1489.662035
160;400;1.67;300;17.37;400;20.21;-0.25;8800;1498.232881
200;400;3.43;200;4.21;200;7.16;0.5;16000;18.95294485
200;400;4.65;200;16;200;10.11;1;16000;73.4921348
286;1000;4.19;250;18.16;750;40.66;0.5;16000;3135.152532
900;900;7.71;675;41.57;900;18.95;0.75;12600;16718.61921
175;700;2.6;525;16.86;525;32.33;0.5;25200;1345.002216
533;800;6.86;400;18.74;200;12.32;-0.75;30400;459.6064123
200;600;6.97;600;14.84;600;43.58;-1;13200;11231.2327
800;229;2.97;200;11.58;800;37.47;0.25;24000;2010.111832
500;167;20;125;20;500;27.11;-0.5;7000;1890.764416
900;900;4.32;450;31.03;900;42.16;0.5;9000;11629.63438
400;400;3.43;200;4.21;400;30.53;0.25;8000;1034.048276
400;100;3.43;400;11.37;300;24;0;15200;773.4803446
900;900;16.2;675;49.03;900;38.84;-1;23400;24201.05558
600;900;36;450;36;675;36;0.25;30600;3417.371822
120;300;1;150;2.61;150;9.24;0.75;7200;20.99166051
600;200;2.23;150;2.23;300;17.37;-0.25;21600;99.08813017
800;400;6.86;400;6.86;200;6.86;-1;12800;201.1755693
300;200;2.57;300;14.05;150;2.61;0.75;4200;997.4996367
500;250;9;125;10;250;13.55;-0.75;10000;173.9191731
150;600;4.08;600;19.26;300;12.95;-0.5;13200;2131.422628
400;114;2.25;400;15.79;400;18.74;0.75;14400;604.960634
900;600;16.2;450;34.34;900;65.37;0.25;30600;9107.704775
900;225;3.77;675;21.67;450;24.39;-0.5;36000;2805.759025
400;400;2.25;300;20.68;300;18.47;-0.75;7200;2863.740504
900;300;16.2;900;16.2;225;16.2;-0.5;32400;3813.462553
450;900;16.2;225;16.2;675;46.54;0;32400;2923.604876
400;400;7.2;300;14.05;300;14.05;-0.75;15200;596.2910486
900;900;36;450;36;450;36;0.75;30600;2050.619849
257;900;3.34;900;52.11;225;15.51;-0.75;16200;11736.49337
800;800;9.29;800;37.47;200;9.29;0;28800;6991.126328
400;114;16;100;16;300;20.68;0.5;4800;521.3770332
333;500;5.81;500;14.21;500;19.74;0;10000;2946.720237
900;900;3;450;36;450;17.76;0.75;32400;1075.137521
233;700;2.6;350;4.79;525;24.59;0.75;8400;967.3389424
500;125;4.29;250;7.11;250;14.47;0.75;9000;177.2076424
200;600;2;600;10.42;450;16.11;1;10800;1344.036275
300;100;1.69;225;17.17;150;3.71;1;8400;176.7360442
257;900;3.34;225;17.17;225;7.22;0.75;30600;57.91455687
800;533;32;200;32;400;32;0;28800;1110.68163
320;800;3.84;400;9.89;800;22.74;-0.25;19200;1737.618298
400;400;16;200;16;200;16;0;12800;302.5870574
114;400;3.43;400;24.63;300;16.26;0.5;8800;1739.807103
320;800;9.29;200;16;800;40.42;0;17600;4874.273288
800;800;9.29;800;49.26;400;9.89;-1;6400;20281.24995
200;400;16;300;16;100;16;1;8800;435.3483727
500;125;2.09;375;13.42;125;8.16;0;15000;467.9270771
333;500;9;250;9;375;13.42;-1;2000;8938.110966
257;900;3.34;225;16.34;225;7.22;-0.25;28800;98.21928481
600;600;2.51;450;11.13;600;23.68;0.5;9600;2167.210366
200;300;5.4;75;5.4;150;5.4;-0.75;7800;19.22612792
900;600;6.11;900;25.58;450;22.74;0.25;19800;10261.65088
100;300;1.44;150;11.45;150;10.34;0.75;3000;223.4666283
500;500;2.4;125;9.08;125;2.63;0;16000;17.71677537
120;300;2.57;225;9.71;75;4.34;0.25;8400;99.61928971
86;300;5.4;225;5.4;75;5.4;0.75;4200;107.0964267
500;500;9;500;38.16;500;10.53;-0.25;15000;6253.548948
400;400;16;300;24;400;16;-0.5;8800;2597.960305
200;500;3.4;125;4.93;375;5.13;1;11000;15.75034852
1000;333;8.57;750;37.89;250;8.57;-0.25;36000;5646.435264
120;300;1.69;150;7.03;225;14.68;-0.75;10800;166.7416983
75;300;2.04;75;6;225;3.91;1;6000;9.130987818
200;700;12.6;525;16.86;525;38.13;0.25;8400;7051.297176
300;120;5.4;150;5.4;300;14.05;-1;10800;189.0358476
400;200;1.67;100;2.84;100;2.84;0.25;3200;24.49327121
500;125;9;375;9;125;9;-0.5;9000;906.4897514
700;233;12.6;175;12.6;525;30.39;0;26600;774.5021845
300;100;1.26;225;18;75;5.72;1;11400;126.3461043
100;300;1.44;300;20.68;75;1.58;1;7200;517.5688503
700;280;28;350;28;175;28;-0.25;14000;2694.102704
300;150;1.44;225;3.91;150;2.61;-0.25;6000;114.6821137
286;1000;8.57;750;46.18;500;34.47;-0.5;24000;12304.63548
225;900;7.71;675;11.72;900;9;1;21600;999.233683
400;400;7.2;400;7.2;300;12.95;0.75;8800;542.996072
175;700;4.75;175;10.78;525;42;1;21000;1213.512855
900;257;16.2;900;68.68;450;36;-0.5;10800;154005.3282
280;700;3.36;525;16.86;525;18.79;0.75;12600;1847.445825
500;1000;6.79;750;15.79;500;6.79;-1;16000;2606.696562
267;800;14.4;800;43.37;800;52.21;1;27200;8180.24308
800;229;3.35;800;22.74;800;16.84;0.5;24000;3404.855409
200;800;3.84;600;41.37;600;6;-0.5;12800;11398.176
800;267;3.84;400;5.47;600;17.05;0.25;9600;1011.93511
300;300;2.04;75;3.24;300;12.95;0.5;3000;115.028079
86;300;1.11;225;3.08;75;5.72;-0.5;3000;111.4345789
500;500;4.29;125;8.62;125;4.29;0.25;2000;547.2270745
200;700;28;175;28;525;28;0;28000;1191.698066
300;120;5.4;150;5.4;225;8.05;-0.75;5400;149.407775
300;300;5.4;300;5.4;300;12.95;0.75;5400;395.9611976
360;900;3.34;225;6.39;225;8.88;-0.5;5400;616.3296271
700;467;2.6;700;37.95;525;14.92;0.75;28000;3282.379323
