hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y,y_norm
800,800,6.86,400,9.89,400,9.89,-1.0,17600,872.5958582,2.7418879713
700,350,12.6,175,12.6,350,12.6,-0.25,5600,771.2445607,0.9955239418
600,200,6.97,300,12.95,300,9.63,0.75,2400,4529.229238,1.1843703261
900,225,16.2,225,16.2,225,16.2,-0.75,10800,933.1273357,3.1140001172
1000,286,5.62,500,12.37,1000,28.42,-0.5,6000,20468.67526,0.7337880983
600,300,4.08,450,9.47,450,9.47,0.5,14400,508.7961108,1.3618160523
500,333,2.09,500,6.84,500,6.84,-0.5,10000,1788.014693,2.7708345733
500,1000,3.71,1000,43.16,250,10.79,1.0,26000,9230.151788,4.6852223135
500,333,2.4,250,14.47,250,14.47,1.0,12000,191.3237472,1.0204491014
150,300,2.57,75,2.57,75,4.34,-0.75,2400,23.56677949,2.1219196519
1000,250,4.8,1000,24.74,500,8.68,0.0,30000,6865.355374,6.1090106287
400,114,2.25,300,11.84,300,11.84,-0.75,16000,395.3548995,3.2593357762
350,700,4.75,525,30.39,175,5.62,0.5,8400,6698.737379,5.537285772
300,120,3.48,300,21.79,75,3.48,-0.75,12000,863.4215103,12.9085203153
1000,400,11.61,500,16.05,500,16.05,0.75,8000,4549.285573,1.1180859187
229,800,6.86,200,15.26,200,9.37,-0.5,24000,105.5773053,2.5804136269
800,200,4.5,600,14.84,400,18.74,0.0,22400,1635.24427,2.8809846261
200,500,2.81,375,20.33,125,5.39,1.0,9000,880.7384014,4.0109861189
250,500,2.4,375,12.04,250,16.32,-1.0,18000,436.3651482,2.531914686
300,300,12.0,300,12.0,300,12.0,-0.5,7800,1036.720769,2.5885900924
500,500,2.4,375,10.66,375,12.04,1.0,20000,185.1122742,1.0256275397
400,160,16.0,100,16.0,100,16.0,-0.75,16000,95.54274533,2.7259717518
1000,286,4.8,750,10.26,750,10.26,0.0,8000,15340.09595,1.9922304942
125,500,2.81,375,6.51,375,3.75,0.75,4000,1005.235322,1.0731974185
400,400,16.0,100,16.0,300,21.79,1.0,4000,442.1163537,0.4782182003
400,100,3.43,400,11.37,200,12.32,1.0,8800,402.4244452,1.491219226
800,533,4.5,200,11.58,400,32.0,0.0,20800,604.5980638,1.8897679446
400,160,7.2,400,32.0,400,32.0,-0.25,8800,6909.673992,2.4081734304
600,150,4.08,450,12.79,150,4.26,-1.0,8400,581.040642,2.3996557208
600,400,2.23,600,34.74,300,16.26,1.0,21600,2243.51634,2.4016317703
200,700,3.36,350,20.26,350,28.0,0.5,25200,541.9886798,1.3497784792
333,500,2.81,250,17.24,125,4.93,-1.0,18000,127.8429912,3.49796114
800,800,32.0,400,32.0,400,32.0,0.75,11200,4273.923901,1.1551222758
1000,286,3.71,250,3.71,500,14.21,-0.5,24000,151.2542899,1.333879256
300,200,1.0,75,3.24,150,12.0,0.5,8400,23.26895036,1.7153299021
1000,333,5.62,1000,24.74,500,34.47,0.25,18000,15311.90227,2.5816957238
500,500,1.67,375,25.86,375,25.86,-0.25,5000,12086.18631,2.1758707096
900,600,5.06,675,9.24,675,9.24,0.5,16200,1946.370182,1.3327414405
900,450,16.2,900,38.84,675,34.11,-1.0,27000,13331.31863,2.5789496237
1000,400,18.0,750,51.71,750,51.71,0.0,24000,19693.25489,2.0061081663
800,533,4.5,600,23.68,600,23.68,-0.25,32000,2463.393867,2.3685598282
280,700,3.94,350,4.79,350,20.26,-1.0,8400,1270.993335,1.7390123818
75,300,2.57,225,6.39,75,2.96,0.25,5400,84.63612913,3.8180900948
300,120,1.69,75,1.69,75,5.17,0.5,3000,6.464841928,0.957753654
400,267,1.33,200,13.79,200,13.79,0.25,14400,125.4191738,1.6188720706
100,300,1.11,75,1.58,75,1.3,0.5,8400,0.549219681,1.4300561922
286,1000,3.33,250,8.03,750,48.95,0.75,12000,4267.599679,1.1668726912
700,200,8.13,525,8.13,525,8.13,-0.75,28000,595.3528043,3.7354183467
300,300,2.57,150,7.58,225,8.05,1.0,3600,126.9456078,0.5602777628
500,125,1.86,375,6.51,500,36.32,-0.25,15000,2110.486207,2.3166076483
300,300,1.0,225,2.25,225,4.74,0.25,8400,34.19969002,1.094541978
1000,250,4.19,750,54.47,500,34.47,-1.0,26000,14508.79095,3.3122340997
900,360,5.06,450,22.74,675,9.24,0.5,10800,3107.616911,1.0684898617
300,300,2.04,75,6.0,150,4.82,-0.25,6600,13.30217144,1.0913236903
600,300,2.88,600,28.11,150,2.88,0.0,16800,3929.020963,10.9861850078
200,500,1.67,500,32.63,375,10.66,-1.0,16000,2412.616037,2.7428265706
800,800,2.67,200,3.47,200,4.95,-1.0,16000,55.35605991,2.8066123869
300,300,3.48,150,3.48,150,3.48,-0.75,9600,25.92874368,2.9983223591
400,267,4.65,300,17.37,100,6.89,1.0,12800,239.2546063,3.2976583854
900,600,3.34,450,12.79,450,12.79,0.5,23400,488.9728154,1.4361044712
667,1000,40.0,500,40.0,1000,54.21,-1.0,28000,18903.8357,2.3504282768
1000,400,40.0,250,40.0,1000,76.32,-0.75,8000,42980.03077,1.1332117109
320,800,3.84,200,13.05,600,21.47,0.0,16000,723.1345921,1.226392781
900,600,5.06,900,15.63,450,5.06,-0.25,16200,9464.376116,5.7457662866
1000,1000,4.8,1000,61.58,1000,76.32,1.0,30000,24894.15196,0.9779777241
500,333,1.86,125,7.7,250,18.16,-1.0,8000,254.4557097,1.8250769731
300,86,2.57,150,2.57,225,14.68,-0.5,1800,588.6343789,0.9166662314
900,225,5.06,450,17.76,450,32.68,0.5,16200,1850.793382,1.3300333364
467,700,2.6,175,8.2,525,40.07,0.25,14000,1884.813347,2.1461251458
75,300,2.04,300,24.0,300,4.11,0.0,5400,1791.31596,2.8262383653
286,1000,18.0,750,32.37,500,18.0,1.0,24000,3385.156667,1.7222414309
300,200,5.4,300,24.0,150,9.79,-0.5,11400,1148.03006,6.2239554274
133,400,1.33,400,14.32,200,13.05,-1.0,12800,423.3592652,2.0342370249
1000,1000,18.0,250,20.0,750,60.0,0.25,36000,4089.868719,2.3952055649
400,133,1.33,100,3.95,100,3.95,0.5,1600,94.85740178,1.2935093358
1000,667,6.79,500,28.95,500,28.95,1.0,6000,15369.56753,0.9790130592
